"","Label","sum_Area","condition","channel"
"1","gs2_Control_L1_S3L_C1.tif",134.967,"Control","Glia"
"2","gs2_Control_L1_S3L_C3.tif",565.699,"Control","HRP"
"3","gs2_Control_L1_S3R_C1.tif",148.748,"Control","Glia"
"4","gs2_Control_L1_S3R_C3.tif",485.857,"Control","HRP"
"5","gs2_Control_L1_S4L_C1.tif",101.905,"Control","Glia"
"6","gs2_Control_L1_S4L_C3.tif",438.272,"Control","HRP"
"7","gs2_Control_L1_S4R_C1.tif",107.405,"Control","Glia"
"8","gs2_Control_L1_S4R_C3.tif",432.588,"Control","HRP"
"9","gs2_Control_L1_S5L_C1.tif",63.158,"Control","Glia"
"10","gs2_Control_L1_S5L_C3.tif",276.547,"Control","HRP"
"11","gs2_Control_L1_S5R_C1.tif",75.084,"Control","Glia"
"12","gs2_Control_L1_S5R_C3.tif",176.743,"Control","HRP"
"13","gs2_Control_L2_S3L_C1.tif",155.917,"Control","Glia"
"14","gs2_Control_L2_S3L_C3.tif",713.582,"Control","HRP"
"15","gs2_Control_L2_S3R_C1.tif",170.439,"Control","Glia"
"16","gs2_Control_L2_S3R_C3.tif",603.086,"Control","HRP"
"17","gs2_Control_L2_S4L_C1.tif",66.989,"Control","Glia"
"18","gs2_Control_L2_S4L_C3.tif",397.485,"Control","HRP"
"19","gs2_Control_L2_S4R_C1.tif",183.788,"Control","Glia"
"20","gs2_Control_L2_S4R_C3.tif",471.459,"Control","HRP"
"21","gs2_Control_L2_S5L_C1.tif",68.472,"Control","Glia"
"22","gs2_Control_L2_S5L_C3.tif",298.362,"Control","HRP"
"23","gs2_Control_L2_S5R_C1.tif",83.798,"Control","Glia"
"24","gs2_Control_L2_S5R_C3.tif",314.738,"Control","HRP"
"25","gs2_Control_L3_S3L_C1.tif",132.557,"Control","Glia"
"26","gs2_Control_L3_S3L_C3.tif",502.11,"Control","HRP"
"27","gs2_Control_L3_S3R_C1.tif",223.276,"Control","Glia"
"28","gs2_Control_L3_S3R_C3.tif",433.513,"Control","HRP"
"29","gs2_Control_L3_S4L_C1.tif",194.417,"Control","Glia"
"30","gs2_Control_L3_S4L_C3.tif",560.694,"Control","HRP"
"31","gs2_Control_L3_S4R_C1.tif",73.169,"Control","Glia"
"32","gs2_Control_L3_S4R_C3.tif",431.722,"Control","HRP"
"33","gs2_Control_L3_S5L_C1.tif",168.832,"Control","Glia"
"34","gs2_Control_L3_S5L_C3.tif",499.267,"Control","HRP"
"35","gs2_Control_L3_S5R_C1.tif",76.197,"Control","Glia"
"36","gs2_Control_L3_S5R_C3.tif",519.784,"Control","HRP"
"37","gs2_Control_L4_S3L_C1.tif",98.074,"Control","Glia"
"38","gs2_Control_L4_S3L_C3.tif",507.486,"Control","HRP"
"39","gs2_Control_L4_S3R_C1.tif",154.186,"Control","Glia"
"40","gs2_Control_L4_S3R_C3.tif",664.515,"Control","HRP"
"41","gs2_Control_L4_S4L_C1.tif",109.012,"Control","Glia"
"42","gs2_Control_L4_S4L_C3.tif",425.418,"Control","HRP"
"43","gs2_Control_L4_S4R_C1.tif",83.304,"Control","Glia"
"44","gs2_Control_L4_S4R_C3.tif",293.789,"Control","HRP"
"45","gs2_Control_L4_S5L_C1.tif",91.338,"Control","Glia"
"46","gs2_Control_L4_S5L_C3.tif",259.243,"Control","HRP"
"47","gs2_Control_L4_S5R_C1.tif",80.77,"Control","Glia"
"48","gs2_Control_L4_S5R_C3.tif",328.086,"Control","HRP"
"49","gs2_Control_L5_S3L_C1.tif",150.293,"Control","Glia"
"50","gs2_Control_L5_S3L_C3.tif",482.706,"Control","HRP"
"51","gs2_Control_L5_S3R_C1.tif",111.422,"Control","Glia"
"52","gs2_Control_L5_S3R_C3.tif",489.441,"Control","HRP"
"53","gs2_Control_L5_S4L_C1.tif",62.725,"Control","Glia"
"54","gs2_Control_L5_S4L_C3.tif",437.901,"Control","HRP"
"55","gs2_Control_L5_S4R_C1.tif",94.984,"Control","Glia"
"56","gs2_Control_L5_S4R_C3.tif",377.463,"Control","HRP"
"57","gs2_Control_L5_S5L_C1.tif",69.708,"Control","Glia"
"58","gs2_Control_L5_S5L_C3.tif",340.94,"Control","HRP"
"59","gs2_Control_L5_S5R_C1.tif",79.843,"Control","Glia"
"60","gs2_Control_L5_S5R_C3.tif",269.131,"Control","HRP"
"61","gs2_RNAi_L1_S3L_C1.tif",77.31,"gs2","Glia"
"62","gs2_RNAi_L1_S3L_C3.tif",360.346,"gs2","HRP"
"63","gs2_RNAi_L1_S3R_C1.tif",168.832,"gs2","Glia"
"64","gs2_RNAi_L1_S3R_C3.tif",451.93,"gs2","HRP"
"65","gs2_RNAi_L1_S4L_C1.tif",114.326,"gs2","Glia"
"66","gs2_RNAi_L1_S4L_C3.tif",157.524,"gs2","HRP"
"67","gs2_RNAi_L1_S4R_C1.tif",184.838,"gs2","Glia"
"68","gs2_RNAi_L1_S4R_C3.tif",434.441,"gs2","HRP"
"69","gs2_RNAi_L1_S5L_C1.tif",99.31,"gs2","Glia"
"70","gs2_RNAi_L1_S5L_C3.tif",253.063,"gs2","HRP"
"71","gs2_RNAi_L1_S5R_C1.tif",130.456,"gs2","Glia"
"72","gs2_RNAi_L1_S5R_C3.tif",328.271,"gs2","HRP"
